bacterial infections and mycoses,c01
"conjunctivitis, inclusion",c01.252.400.210.210.250
lymphogranuloma venereum,c01.252.400.210.210.490
trachoma,c01.252.400.210.210.800
chlamydophila infections,c01.252.400.210.250
chlamydial pneumonia,c01.252.400.210.250.299
psittacosis,c01.252.400.210.250.600
cytophagaceae infections,c01.252.400.245
desulfovibrionaceae infections,c01.252.400.260
enterobacteriaceae infections,c01.252.400.310
"dysentery, bacillary",c01.252.400.310.229
escherichia coli infections,c01.252.400.310.330
"meningitis, escherichia coli",c01.252.400.310.330.500
granuloma inguinale,c01.252.400.310.416
klebsiella infections,c01.252.400.310.503
rhinoscleroma,c01.252.400.310.503.650
proteus infections,c01.252.400.310.708
salmonella infections,c01.252.400.310.821
paratyphoid fever,c01.252.400.310.821.438
salmonella food poisoning,c01.252.400.310.821.606
"salmonella infections, animal",c01.252.400.310.821.706
typhoid fever,c01.252.400.310.821.873
serratia infections,c01.252.400.310.850
yersinia infections,c01.252.400.310.980
plague,c01.252.400.310.980.745
yersinia pseudotuberculosis infections,c01.252.400.310.980.780
flavobacteriaceae infections,c01.252.400.349
fusobacteriaceae infections,c01.252.400.388
fusobacterium infections,c01.252.400.388.350
"gingivitis, necrotizing ulcerative",c01.252.400.388.350.400
lemierre syndrome,c01.252.400.388.350.700
helicobacter infections,c01.252.400.466
legionellosis,c01.252.400.500
legionnaires' disease,c01.252.400.500.501
leptospirosis,c01.252.400.511
weil disease,c01.252.400.511.739
moraxellaceae infections,c01.252.400.560
acinetobacter infections,c01.252.400.560.022
mycoplasmatales infections,c01.252.400.610
mycoplasma infections,c01.252.400.610.610
"pleuropneumonia, contagious",c01.252.400.610.610.717
"pneumonia, mycoplasma",c01.252.400.610.610.760
ureaplasma infections,c01.252.400.610.850
neisseriaceae infections,c01.252.400.625
gonorrhea,c01.252.400.625.391
ophthalmia neonatorum,c01.252.400.625.391.658
meningococcal infections,c01.252.400.625.549
"meningitis, meningococcal",c01.252.400.625.549.449
waterhouse-friderichsen syndrome,c01.252.400.625.549.449.800
pasteurellaceae infections,c01.252.400.700
actinobacillus infections,c01.252.400.700.030
actinobacillosis,c01.252.400.700.030.178
haemophilus infections,c01.252.400.700.433
chancroid,c01.252.400.700.433.257
"meningitis, haemophilus",c01.252.400.700.433.615
pasteurella infections,c01.252.400.700.662
hemorrhagic septicemia,c01.252.400.700.662.297
"pasteurellosis, pneumonic",c01.252.400.700.675
piscirickettsiaceae infections,c01.252.400.719
pseudomonas infections,c01.252.400.739
q fever,c01.252.400.755
rat-bite fever,c01.252.400.771
rickettsiaceae infections,c01.252.400.780
"pneumonia, rickettsial",c01.252.400.780.600
rickettsia infections,c01.252.400.780.790
spotted fever group rickettsiosis,c01.252.400.780.790.750
boutonneuse fever,c01.252.400.780.790.750.250
rocky mountain spotted fever,c01.252.400.780.790.750.500
"typhus, endemic flea-borne",c01.252.400.780.790.800
"typhus, epidemic louse-borne",c01.252.400.780.790.805
scrub typhus,c01.252.400.780.850
tick-borne diseases,c01.252.400.825
anaplasmosis,c01.252.400.825.050
ehrlichiosis,c01.252.400.825.200
heartwater disease,c01.252.400.825.300
lyme disease,c01.252.400.825.480
erythema chronicum migrans,c01.252.400.825.480.400
lyme neuroborreliosis,c01.252.400.825.480.700
post-lyme disease syndrome,c01.252.400.825.480.850
relapsing fever,c01.252.400.825.750
spotted fever group rickettsiosis,c01.252.400.825.887
boutonneuse fever,c01.252.400.825.887.250
rocky mountain spotted fever,c01.252.400.825.887.500
treponemal infections,c01.252.400.840
pinta,c01.252.400.840.558
syphilis,c01.252.400.840.744
chancre,c01.252.400.840.744.161
neurosyphilis,c01.252.400.840.744.456
tabes dorsalis,c01.252.400.840.744.456.778
"syphilis, cardiovascular",c01.252.400.840.744.657
"syphilis, congenital",c01.252.400.840.744.725
"syphilis, cutaneous",c01.252.400.840.744.800
"syphilis, latent",c01.252.400.840.744.871
yaws,c01.252.400.840.892
tularemia,c01.252.400.939
vibrio infections,c01.252.400.959
cholera,c01.252.400.959.347
gram-positive bacterial infections,c01.252.410
actinomycetales infections,c01.252.410.040
actinomycosis,c01.252.410.040.137
"actinomycosis, cervicofacial",c01.252.410.040.137.262
whipple disease,c01.252.410.040.137.631
corynebacterium infections,c01.252.410.040.246
diphtheria,c01.252.410.040.246.388
erythrasma,c01.252.410.040.246.430
mycobacterium infections,c01.252.410.040.552
leprosy,c01.252.410.040.552.386
"leprosy, multibacillary",c01.252.410.040.552.386.775
"leprosy, lepromatous",c01.252.410.040.552.386.775.500
"leprosy, paucibacillary",c01.252.410.040.552.386.850
"leprosy, borderline",c01.252.410.040.552.386.850.249
"leprosy, tuberculoid",c01.252.410.040.552.386.850.500
"mycobacterium infections, nontuberculous",c01.252.410.040.552.475
buruli ulcer,c01.252.410.040.552.475.247
mycobacterium avium-intracellulare infection,c01.252.410.040.552.475.495
paratuberculosis,c01.252.410.040.552.588
tuberculosis,c01.252.410.040.552.846
latent tuberculosis,c01.252.410.040.552.846.122
"peritonitis, tuberculous",c01.252.410.040.552.846.246
tuberculoma,c01.252.410.040.552.846.493
"tuberculoma, intracranial",c01.252.410.040.552.846.493.400
"tuberculosis, avian",c01.252.410.040.552.846.516
"tuberculosis, bovine",c01.252.410.040.552.846.538
"tuberculosis, cardiovascular",c01.252.410.040.552.846.561
"pericarditis, tuberculous",c01.252.410.040.552.846.561.595
"tuberculosis, central nervous system",c01.252.410.040.552.846.570
"tuberculoma, intracranial",c01.252.410.040.552.846.570.300
"tuberculosis, meningeal",c01.252.410.040.552.846.570.600
"tuberculosis, cutaneous",c01.252.410.040.552.846.583
erythema induratum,c01.252.410.040.552.846.583.260
lupus vulgaris,c01.252.410.040.552.846.583.470
"tuberculosis, endocrine",c01.252.410.040.552.846.606
"tuberculosis, gastrointestinal",c01.252.410.040.552.846.628
"tuberculosis, hepatic",c01.252.410.040.552.846.651
"tuberculosis, laryngeal",c01.252.410.040.552.846.696
"tuberculosis, lymph node",c01.252.410.040.552.846.719
king's evil,c01.252.410.040.552.846.719.500
"tuberculosis, miliary",c01.252.410.040.552.846.764
"tuberculosis, multidrug-resistant",c01.252.410.040.552.846.775
extensively drug-resistant tuberculosis,c01.252.410.040.552.846.775.500
"tuberculosis, ocular",c01.252.410.040.552.846.786
"tuberculosis, oral",c01.252.410.040.552.846.809
"tuberculosis, osteoarticular",c01.252.410.040.552.846.831
"tuberculosis, spinal",c01.252.410.040.552.846.831.722
"tuberculosis, pleural",c01.252.410.040.552.846.877
"empyema, tuberculous",c01.252.410.040.552.846.877.405
"tuberculosis, pulmonary",c01.252.410.040.552.846.899
silicotuberculosis,c01.252.410.040.552.846.899.669
"tuberculosis, splenic",c01.252.410.040.552.846.922
"tuberculosis, urogenital",c01.252.410.040.552.846.944
"tuberculosis, female genital",c01.252.410.040.552.846.944.596
"tuberculosis, male genital",c01.252.410.040.552.846.944.721
"tuberculosis, renal",c01.252.410.040.552.846.944.847
nocardia infections,c01.252.410.040.692
mycetoma,c01.252.410.040.692.606
bacillaceae infections,c01.252.410.090
anthrax,c01.252.410.090.072
bifidobacteriales infections,c01.252.410.110
clostridium infections,c01.252.410.222
botulism,c01.252.410.222.151
"enterocolitis, pseudomembranous",c01.252.410.222.310
enterotoxemia,c01.252.410.222.325
gas gangrene,c01.252.410.222.440
tetanus,c01.252.410.222.864
erysipelothrix infections,c01.252.410.334
erysipeloid,c01.252.410.334.329
swine erysipelas,c01.252.410.334.776
listeriosis,c01.252.410.514
"meningitis, listeria",c01.252.410.514.533
staphylococcal infections,c01.252.410.868
"pneumonia, staphylococcal",c01.252.410.868.675
staphylococcal food poisoning,c01.252.410.868.806
staphylococcal skin infections,c01.252.410.868.820
furunculosis,c01.252.410.868.820.270
carbuncle,c01.252.410.868.820.270.200
impetigo,c01.252.410.868.820.504
staphylococcal scalded skin syndrome,c01.252.410.868.820.770
streptococcal infections,c01.252.410.890
ecthyma,c01.252.410.890.210
"endocarditis, subacute bacterial",c01.252.410.890.240
erysipelas,c01.252.410.890.328
impetigo,c01.252.410.890.485
pneumococcal infections,c01.252.410.890.670
"meningitis, pneumococcal",c01.252.410.890.670.595
"pneumonia, pneumococcal",c01.252.410.890.670.750
rheumatic fever,c01.252.410.890.731
rheumatic heart disease,c01.252.410.890.731.649
scarlet fever,c01.252.410.890.823
"pneumonia, bacterial",c01.252.620
chlamydial pneumonia,c01.252.620.249
"pneumonia of calves, enzootic",c01.252.620.300
"pneumonia of swine, mycoplasmal",c01.252.620.330
"pneumonia, mycoplasma",c01.252.620.500
"pneumonia, pneumococcal",c01.252.620.550
"pneumonia, rickettsial",c01.252.620.600
"pneumonia, staphylococcal",c01.252.620.620
"sexually transmitted diseases, bacterial",c01.252.810
chancroid,c01.252.810.201
chlamydia infections,c01.252.810.301
lymphogranuloma venereum,c01.252.810.301.490
gonorrhea,c01.252.810.401
granuloma inguinale,c01.252.810.451
syphilis,c01.252.810.859
"skin diseases, bacterial",c01.252.825
"actinomycosis, cervicofacial",c01.252.825.110
"angiomatosis, bacillary",c01.252.825.150
digital dermatitis,c01.252.825.180
ecthyma,c01.252.825.210
erysipelas,c01.252.825.260
erythema chronicum migrans,c01.252.825.310
erythrasma,c01.252.825.320
"fasciitis, necrotizing",c01.252.825.340
granuloma inguinale,c01.252.825.360
hidradenitis suppurativa,c01.252.825.420
mycetoma,c01.252.825.557
pinta,c01.252.825.630
rhinoscleroma,c01.252.825.705
staphylococcal skin infections,c01.252.825.770
furunculosis,c01.252.825.770.270
carbuncle,c01.252.825.770.270.200
impetigo,c01.252.825.770.360
staphylococcal scalded skin syndrome,c01.252.825.770.770
"syphilis, cutaneous",c01.252.825.790
"tuberculosis, cutaneous",c01.252.825.820
erythema induratum,c01.252.825.820.260
lupus vulgaris,c01.252.825.820.470
yaws,c01.252.825.910
spirochaetales infections,c01.252.847
borrelia infections,c01.252.847.193
lyme disease,c01.252.847.193.569
erythema chronicum migrans,c01.252.847.193.569.200
lyme neuroborreliosis,c01.252.847.193.569.600
post-lyme disease syndrome,c01.252.847.193.569.800
relapsing fever,c01.252.847.193.644
leptospirosis,c01.252.847.511
weil disease,c01.252.847.511.739
treponemal infections,c01.252.847.840
pinta,c01.252.847.840.558
syphilis,c01.252.847.840.744
chancre,c01.252.847.840.744.161
neurosyphilis,c01.252.847.840.744.456
tabes dorsalis,c01.252.847.840.744.456.778
"syphilis, cardiovascular",c01.252.847.840.744.657
"syphilis, congenital",c01.252.847.840.744.725
"syphilis, cutaneous",c01.252.847.840.744.800
"syphilis, latent",c01.252.847.840.744.871
yaws,c01.252.847.840.892
"vaginosis, bacterial",c01.252.954
central nervous system infections,c01.395
brain abscess,c01.395.250
"toxoplasmosis, cerebral",c01.395.250.500
central nervous system bacterial infections,c01.395.500
infection,c01.539
"aneurysm, infected",c01.539.069
"arthritis, infectious",c01.539.100
"arthritis, reactive",c01.539.100.500
"bone diseases, infectious",c01.539.160
osteomyelitis,c01.539.160.495
mastoiditis,c01.539.160.495.500
petrositis,c01.539.160.495.750
pott puffy tumor,c01.539.160.495.875
periostitis,c01.539.160.595
spondylitis,c01.539.160.762
discitis,c01.539.160.762.301
"tuberculosis, osteoarticular",c01.539.160.886
"tuberculosis, spinal",c01.539.160.886.722
cardiovascular infections,c01.539.190
"endocarditis, bacterial",c01.539.190.249
"endocarditis, subacute bacterial",c01.539.190.249.407
"syphilis, cardiovascular",c01.539.190.500
"tuberculosis, cardiovascular",c01.539.190.750
"pericarditis, tuberculous",c01.539.190.750.595
catheter-related infections,c01.539.195
coinfection,c01.539.218
communicable diseases,c01.539.221
"communicable diseases, emerging",c01.539.221.500
"communicable diseases, imported",c01.539.221.625
waterborne diseases,c01.539.221.750
community-acquired infections,c01.539.234
cross infection,c01.539.248
healthcare-associated pneumonia,c01.539.248.250
"pneumonia, ventilator-associated",c01.539.248.500
eye infections,c01.539.375
corneal ulcer,c01.539.375.177
endophthalmitis,c01.539.375.265
"uveitis, suppurative",c01.539.375.265.500
"eye infections, bacterial",c01.539.375.354
"conjunctivitis, bacterial",c01.539.375.354.220
"conjunctivitis, inclusion",c01.539.375.354.220.250
ophthalmia neonatorum,c01.539.375.354.220.625
trachoma,c01.539.375.354.220.800
hordeolum,c01.539.375.354.400
"keratoconjunctivitis, infectious",c01.539.375.354.450
"tuberculosis, ocular",c01.539.375.354.800
"uveitis, suppurative",c01.539.375.354.900
panophthalmitis,c01.539.375.354.900.675
"eye infections, fungal",c01.539.375.450
"uveitis, suppurative",c01.539.375.450.900
panophthalmitis,c01.539.375.450.900.675
focal infection,c01.539.392
"focal infection, dental",c01.539.392.433
"gingivitis, necrotizing ulcerative",c01.539.424
intraabdominal infections,c01.539.463
appendicitis,c01.539.463.099
diverticular diseases,c01.539.463.199
diverticulitis,c01.539.463.199.375
"diverticulitis, colonic",c01.539.463.199.375.250
"diverticulosis, stomach",c01.539.463.199.375.625
diverticulum,c01.539.463.199.750
"diverticulum, colon",c01.539.463.199.750.500
"diverticulum, stomach",c01.539.463.199.750.687
meckel diverticulum,c01.539.463.199.750.750
peritonitis,c01.539.463.600
"peritonitis, tuberculous",c01.539.463.600.249
subphrenic abscess,c01.539.463.600.500
typhlitis,c01.539.463.850
laboratory infection,c01.539.503
ludwig's angina,c01.539.535
opportunistic infections,c01.539.597
aids-related opportunistic infections,c01.539.597.050
superinfection,c01.539.597.880
pelvic infection,c01.539.635
pelvic inflammatory disease,c01.539.635.500
"pregnancy complications, infectious",c01.539.674
"abortion, septic",c01.539.674.173
puerperal infection,c01.539.674.715
prosthesis-related infections,c01.539.685
reproductive tract infections,c01.539.730
respiratory tract infections,c01.539.739
"empyema, pleural",c01.539.739.484
"empyema, tuberculous",c01.539.739.484.320
whooping cough,c01.539.739.969
sepsis,c01.539.757
bacteremia,c01.539.757.100
endotoxemia,c01.539.757.100.275
hemorrhagic septicemia,c01.539.757.100.375
fungemia,c01.539.757.360
candidemia,c01.539.757.360.150
neonatal sepsis,c01.539.757.580
"shock, septic",c01.539.757.800
sexually transmitted diseases,c01.539.778
"sexually transmitted diseases, bacterial",c01.539.778.281
chancroid,c01.539.778.281.201
chlamydia infections,c01.539.778.281.301
lymphogranuloma venereum,c01.539.778.281.301.490
gonorrhea,c01.539.778.281.401
granuloma inguinale,c01.539.778.281.451
syphilis,c01.539.778.281.859
"skin diseases, infectious",c01.539.800
cellulitis,c01.539.800.130
dermatomycoses,c01.539.800.200
blastomycosis,c01.539.800.200.055
"candidiasis, chronic mucocutaneous",c01.539.800.200.100
"candidiasis, cutaneous",c01.539.800.200.105
chromoblastomycosis,c01.539.800.200.110
hyalohyphomycosis,c01.539.800.200.383
alternariosis,c01.539.800.200.383.125
cerebral phaeohyphomycosis,c01.539.800.200.383.375
fusariosis,c01.539.800.200.383.500
lobomycosis,c01.539.800.200.475
mycetoma,c01.539.800.200.500
sporotrichosis,c01.539.800.200.675
tinea,c01.539.800.200.720
onychomycosis,c01.539.800.200.720.550
tinea capitis,c01.539.800.200.720.730
tinea favosa,c01.539.800.200.720.730.740
tinea pedis,c01.539.800.200.720.760
tinea versicolor,c01.539.800.200.860
paronychia,c01.539.800.460
"skin diseases, bacterial",c01.539.800.720
"actinomycosis, cervicofacial",c01.539.800.720.110
"angiomatosis, bacillary",c01.539.800.720.150
digital dermatitis,c01.539.800.720.180
ecthyma,c01.539.800.720.210
erysipelas,c01.539.800.720.260
erythema chronicum migrans,c01.539.800.720.310
erythrasma,c01.539.800.720.320
granuloma inguinale,c01.539.800.720.360
hidradenitis suppurativa,c01.539.800.720.420
mycetoma,c01.539.800.720.557
pinta,c01.539.800.720.630
rhinoscleroma,c01.539.800.720.705
staphylococcal skin infections,c01.539.800.720.770
furunculosis,c01.539.800.720.770.270
carbuncle,c01.539.800.720.770.270.200
impetigo,c01.539.800.720.770.360
staphylococcal scalded skin syndrome,c01.539.800.720.770.770
"syphilis, cutaneous",c01.539.800.720.790
"tuberculosis, cutaneous",c01.539.800.720.820
erythema induratum,c01.539.800.720.820.260
lupus vulgaris,c01.539.800.720.820.470
yaws,c01.539.800.720.910
soft tissue infections,c01.539.820
suppuration,c01.539.830
abscess,c01.539.830.025
abdominal abscess,c01.539.830.025.020
liver abscess,c01.539.830.025.020.455
"liver abscess, amebic",c01.539.830.025.020.455.460
"liver abscess, pyogenic",c01.539.830.025.020.455.730
subphrenic abscess,c01.539.830.025.020.810
brain abscess,c01.539.830.025.160
"toxoplasmosis, cerebral",c01.539.830.025.160.800
epidural abscess,c01.539.830.025.325
lung abscess,c01.539.830.025.490
periapical abscess,c01.539.830.025.650
periodontal abscess,c01.539.830.025.665
peritonsillar abscess,c01.539.830.025.675
psoas abscess,c01.539.830.025.700
retropharyngeal abscess,c01.539.830.025.780
cellulitis,c01.539.830.200
empyema,c01.539.830.305
"empyema, pleural",c01.539.830.305.310
"empyema, tuberculous",c01.539.830.305.310.320
"empyema, subdural",c01.539.830.305.330
hidradenitis suppurativa,c01.539.830.499
"otitis media, suppurative",c01.539.830.694
pyomyositis,c01.539.830.767
"thyroiditis, suppurative",c01.539.830.840
"uveitis, suppurative",c01.539.830.900
toxemia,c01.539.861
endotoxemia,c01.539.861.375
urinary tract infections,c01.539.895
bacteriuria,c01.539.895.219
pyuria,c01.539.895.719
schistosomiasis haematobia,c01.539.895.775
wound infection,c01.539.947
surgical wound infection,c01.539.947.692
mycoses,c01.703
aspergillosis,c01.703.080
neuroaspergillosis,c01.703.080.537
pulmonary aspergillosis,c01.703.080.768
"aspergillosis, allergic bronchopulmonary",c01.703.080.768.500
invasive pulmonary aspergillosis,c01.703.080.768.750
candidiasis,c01.703.160
"candidiasis, chronic mucocutaneous",c01.703.160.165
"candidiasis, cutaneous",c01.703.160.170
"candidiasis, invasive",c01.703.160.175
candidemia,c01.703.160.175.150
"candidiasis, oral",c01.703.160.180
"candidiasis, vulvovaginal",c01.703.160.190
central nervous system fungal infections,c01.703.181
"meningitis, fungal",c01.703.181.500
"meningitis, cryptococcal",c01.703.181.500.500
coccidioidomycosis,c01.703.203
cryptococcosis,c01.703.248
"meningitis, cryptococcal",c01.703.248.290
dermatomycoses,c01.703.295
blastomycosis,c01.703.295.055
"candidiasis, chronic mucocutaneous",c01.703.295.165
"candidiasis, cutaneous",c01.703.295.170
chromoblastomycosis,c01.703.295.182
hyalohyphomycosis,c01.703.295.328
alternariosis,c01.703.295.328.125
cerebral phaeohyphomycosis,c01.703.295.328.375
fusariosis,c01.703.295.328.500
lobomycosis,c01.703.295.475
mycetoma,c01.703.295.522
sporotrichosis,c01.703.295.675
tinea,c01.703.295.872
onychomycosis,c01.703.295.872.458
tinea capitis,c01.703.295.872.541
tinea favosa,c01.703.295.872.541.500
tinea pedis,c01.703.295.872.707
tinea versicolor,c01.703.295.936
"eye infections, fungal",c01.703.343
"uveitis, suppurative",c01.703.343.900
panophthalmitis,c01.703.343.900.675
geotrichosis,c01.703.392
histoplasmosis,c01.703.450
invasive fungal infections,c01.703.492
"candidiasis, invasive",c01.703.492.500
candidemia,c01.703.492.500.150
fungemia,c01.703.492.625
candidemia,c01.703.492.625.150
invasive pulmonary aspergillosis,c01.703.492.688
neuroaspergillosis,c01.703.492.750
"lung diseases, fungal",c01.703.534
blastomycosis,c01.703.534.395
"pneumonia, pneumocystis",c01.703.534.700
microsporidiosis,c01.703.617
encephalitozoonosis,c01.703.617.300
otomycosis,c01.703.658
paracoccidioidomycosis,c01.703.700
phaeohyphomycosis,c01.703.726
cerebral phaeohyphomycosis,c01.703.726.500
piedra,c01.703.753
pneumocystis infections,c01.703.770
"pneumonia, pneumocystis",c01.703.770.700
trichosporonosis,c01.703.875
zygomycosis,c01.703.980
mucormycosis,c01.703.980.600
zoonoses,c01.908
virus diseases,c02
arbovirus infections,c02.081
african horse sickness,c02.081.030
bluetongue,c02.081.125
dengue,c02.081.270
severe dengue,c02.081.270.200
"encephalitis, arbovirus",c02.081.343
"encephalitis, california",c02.081.343.340
"encephalitis, japanese",c02.081.343.345
"encephalitis, st. louis",c02.081.343.350
"encephalitis, tick-borne",c02.081.343.360
west nile fever,c02.081.343.950
"encephalomyelitis, equine",c02.081.355
"encephalomyelitis, eastern equine",c02.081.355.177
"encephalomyelitis, venezuelan equine",c02.081.355.355
"encephalomyelitis, western equine",c02.081.355.677
phlebotomus fever,c02.081.700
rift valley fever,c02.081.810
tick-borne diseases,c02.081.885
african swine fever,c02.081.885.125
colorado tick fever,c02.081.885.200
"encephalitis, tick-borne",c02.081.885.400
"hemorrhagic fever, crimean",c02.081.885.430
"hemorrhagic fever, omsk",c02.081.885.440
kyasanur forest disease,c02.081.885.475
nairobi sheep disease,c02.081.885.550
yellow fever,c02.081.980
zika virus infection,c02.081.990
"bronchiolitis, viral",c02.109
central nervous system viral diseases,c02.182
"encephalitis, viral",c02.182.525
"encephalitis, arbovirus",c02.182.525.300
"encephalitis, california",c02.182.525.300.200
"encephalitis, japanese",c02.182.525.300.250
"encephalitis, st. louis",c02.182.525.300.300
"encephalitis, tick-borne",c02.182.525.300.350
west nile fever,c02.182.525.300.850
"encephalitis, herpes simplex",c02.182.525.350
"encephalitis, varicella zoster",c02.182.525.400
"encephalomyelitis, equine",c02.182.525.450
"encephalomyelitis, venezuelan equine",c02.182.525.450.250
"encephalomyelitis, western equine",c02.182.525.450.300
"leukoencephalopathy, progressive multifocal",c02.182.525.500
subacute sclerosing panencephalitis,c02.182.525.600
"meningitis, viral",c02.182.550
lymphocytic choriomeningitis,c02.182.550.500
pseudorabies,c02.182.710
coinfection,c02.219
dna virus infections,c02.256
adenoviridae infections,c02.256.076
"adenovirus infections, human",c02.256.076.045
"hepatitis, infectious canine",c02.256.076.381
african swine fever,c02.256.142
circoviridae infections,c02.256.200
porcine postweaning multisystemic wasting syndrome,c02.256.200.500
hepadnaviridae infections,c02.256.430
hepatitis b,c02.256.430.400
"hepatitis b, chronic",c02.256.430.400.100
herpesviridae infections,c02.256.466
bell palsy,c02.256.466.087
cytomegalovirus infections,c02.256.466.245
cytomegalovirus retinitis,c02.256.466.245.150
"encephalitis, herpes simplex",c02.256.466.262
epstein-barr virus infections,c02.256.466.313
burkitt lymphoma,c02.256.466.313.165
infectious mononucleosis,c02.256.466.313.400
"leukoplakia, hairy",c02.256.466.313.500
herpes simplex,c02.256.466.382
herpes genitalis,c02.256.466.382.290
herpes labialis,c02.256.466.382.316
kaposi varicelliform eruption,c02.256.466.382.410
"keratitis, herpetic",c02.256.466.382.465
"keratitis, dendritic",c02.256.466.382.465.450
"stomatitis, herpetic",c02.256.466.382.834
infectious bovine rhinotracheitis,c02.256.466.488
malignant catarrh,c02.256.466.606
marek disease,c02.256.466.650
pseudorabies,c02.256.466.793
roseolovirus infections,c02.256.466.850
exanthema subitum,c02.256.466.850.290
"sarcoma, kaposi",c02.256.466.860
varicella zoster virus infection,c02.256.466.930
chickenpox,c02.256.466.930.250
"encephalitis, varicella zoster",c02.256.466.930.500
herpes zoster,c02.256.466.930.750
herpes zoster ophthalmicus,c02.256.466.930.750.466
herpes zoster oticus,c02.256.466.930.750.733
zoster sine herpete,c02.256.466.930.750.970
papillomavirus infections,c02.256.650
warts,c02.256.650.810
condylomata acuminata,c02.256.650.810.217
buschke-lowenstein tumor,c02.256.650.810.217.500
epidermodysplasia verruciformis,c02.256.650.810.345
parvoviridae infections,c02.256.700
aleutian mink disease,c02.256.700.091
erythema infectiosum,c02.256.700.300
feline panleukopenia,c02.256.700.363
mink viral enteritis,c02.256.700.550
polyomavirus infections,c02.256.721
"carcinoma, merkel cell",c02.256.721.150
"leukoencephalopathy, progressive multifocal",c02.256.721.500
poxviridae infections,c02.256.743
cowpox,c02.256.743.175
"ecthyma, contagious",c02.256.743.193
"ectromelia, infectious",c02.256.743.239
fowlpox,c02.256.743.366
lumpy skin disease,c02.256.743.494
molluscum contagiosum,c02.256.743.611
monkeypox,c02.256.743.615
"myxomatosis, infectious",c02.256.743.665
smallpox,c02.256.743.826
vaccinia,c02.256.743.929
"encephalitis, viral",c02.290
"encephalitis, arbovirus",c02.290.310
"encephalitis, california",c02.290.310.140
"encephalitis, japanese",c02.290.310.280
"encephalitis, st. louis",c02.290.310.406
"encephalitis, tick-borne",c02.290.310.530
west nile fever,c02.290.310.950
"encephalitis, herpes simplex",c02.290.325
"encephalitis, varicella zoster",c02.290.355
"encephalomyelitis, equine",c02.290.450
"encephalomyelitis, eastern equine",c02.290.450.200
"encephalomyelitis, venezuelan equine",c02.290.450.225
"encephalomyelitis, western equine",c02.290.450.250
"leukoencephalopathy, progressive multifocal",c02.290.575
subacute sclerosing panencephalitis,c02.290.700
"eye infections, viral",c02.325
"conjunctivitis, viral",c02.325.250
"conjunctivitis, acute hemorrhagic",c02.325.250.250
cytomegalovirus retinitis,c02.325.270
herpes zoster ophthalmicus,c02.325.450
"keratitis, herpetic",c02.325.465
"keratitis, dendritic",c02.325.465.450
"fatigue syndrome, chronic",c02.330
"hepatitis, viral, animal",c02.407
"hepatitis, infectious canine",c02.407.432
rift valley fever,c02.407.810
"hepatitis, viral, human",c02.440
hepatitis a,c02.440.420
hepatitis b,c02.440.435
"hepatitis b, chronic",c02.440.435.100
hepatitis c,c02.440.440
"hepatitis c, chronic",c02.440.440.120
hepatitis d,c02.440.450
"hepatitis d, chronic",c02.440.450.100
hepatitis e,c02.440.470
opportunistic infections,c02.597
aids-related opportunistic infections,c02.597.050
superinfection,c02.597.880
"pneumonia, viral",c02.705
