hsa-mir-369,"abortion, spontaneous"
hsa-mir-3614,autism spectrum disorder
hsa-mir-18a,helicobacter pylori
hsa-mir-892a,dermatomyositis
hsa-mir-2278,"dermatitis, allergic contact"
hsa-let-7f-1,"neovascularization, pathologic"
hsa-mir-194-1,non-neoplastic diseases
hsa-mir-567,pancreatic serous cystic neoplasm
hsa-mir-626,angiomyolipoma
hsa-mir-7705,liver failure
hsa-mir-1236,digeorge syndrome
hsa-mir-5010,"sarcoma, ewing"
hsa-mir-10a,enterovirus infections
hsa-mir-4770,lymphocytic choriomeningitis
hsa-mir-4458,kidney neoplasms
hsa-mir-1286,"arrhythmias, cardiac"
hsa-mir-488,keloid
hsa-mir-1238,idiopathic pulmonary fibrosis
hsa-mir-3682,arthritis
hsa-mir-497,idiopathic scoliosis
hsa-mir-550a-2,ovary mixed epithelial carcinoma
hsa-mir-153-1,"cholangitis, sclerosing"
hsa-mir-548j,diabetic peripheral neuropathy
hsa-mir-644a,microvascular disease
hsa-mir-6508,rheumatic myocarditis
hsa-mir-3148,aortic valve disease
hsa-mir-1180,heart diseases
hsa-mir-1972-1,pelvic inflammatory disease
hsa-mir-675,chromosome 5q deletion syndrome
hsa-mir-1231,skin injury
hsa-mir-4758,"lymphoma, t-cell"
hsa-mir-583,small intestine carcinoma
hsa-mir-10b,trisomy 13 syndrome
hsa-mir-320c-1,"lupus erythematosus, systemic"
hsa-mir-6873,uterine corpus endometrial carcinoma
hsa-mir-640,colon adenoma
hsa-mir-1302-7,diabetic neuropathies
hsa-mir-5582,skin hemangioma
hsa-mir-19a,testicular neoplasms
hsa-mir-1285-2,emphysema
hsa-mir-518a-2,burkitt lymphoma
hsa-mir-373,"lymphoma, large b-cell, diffuse"
hsa-mir-216a,chordoma
hsa-mir-514b,adenosquamous pancreas carcinoma
hsa-mir-132,phyllodes tumor
hsa-mir-200a,cerebral cavernous malformations
hsa-mir-1909,leprosy
hsa-mir-514a-3,keloid
hsa-mir-205,diabetic angiopathies
hsa-mir-34a,cardiometabolic disorders
hsa-mir-1207,nevus
hsa-mir-515-1,seizures
hsa-mir-606,lupus vulgaris
hsa-mir-3940,coronavirus infections
hsa-mir-3177,cerebellar neoplasms
hsa-mir-519e,"carcinoma, ovarian, serous"
hsa-mir-202,mycobacterium avium-intracellulare infection
hsa-mir-639,ossification of posterior longitudinal ligament
hsa-mir-302c,retinoblastoma
hsa-mir-23a,microvascular disease
hsa-mir-4530,diabetic cataract
hsa-mir-26b,"neuroectodermal tumors, primitive"
hsa-mir-138-2,focal epithelial hyperplasia
hsa-mir-196a-1,alzheimer disease
hsa-mir-184,"carcinoma, ductal"
hsa-mir-92a-1,chronic pain
hsa-mir-659,legg-calve-perthes disease
hsa-mir-1323,hepatic ischemia-reperfusion injury
hsa-mir-3663,silicosis
hsa-mir-1290,antiphospholipid syndrome
hsa-mir-105-2,invasive bladder transitional cell carcinoma
hsa-mir-525,white spot syndrome virus 1
hsa-mir-217,muscular dystrophies
hsa-mir-3170,"hypertension, pulmonary"
hsa-mir-140,"carcinoma, pancreatic ductal"
hsa-mir-625,"infertility, male"
hsa-mir-544b,"telangiectasia, hereditary hemorrhagic"
hsa-mir-3664,anemia
hsa-mir-937,encephalitis
hsa-mir-5004,pediatric ependymoma
hsa-mir-124-1,chronic pain
hsa-mir-2116,digestive system neoplasms
hsa-mir-610,diabetes mellitus
hsa-mir-6798,subarachnoid hemorrhage
hsa-mir-1908,"systemic lupus erythematosus, with pericarditis"
hsa-mir-3611,uterine corpus endometrial carcinoma
hsa-mir-3200,hemangiosarcoma
hsa-mir-5586,"gastritis, atrophic"
hsa-mir-3940,brain ischemia
hsa-mir-6836,gastrointestinal stromal tumors
hsa-mir-206,"fibromatosis, aggressive"
hsa-mir-4448,heart transplant rejection
hsa-mir-4772,infection
hsa-mir-1202,burkitt lymphoma
hsa-mir-3928,"leukemia, biphenotypic, acute"
hsa-mir-548e,vitiligo
hsa-mir-5004,"shock, hemorrhagic"
hsa-mir-642a,hemophilia a
hsa-mir-1285-1,colonic neoplasms
hsa-mir-522,gaucher disease
hsa-mir-4795,sezary syndrome
hsa-mir-493,glaucoma
hsa-mir-6126,pheochromocytoma
hsa-mir-187,cocaine-related disorders
hsa-mir-602,idiopathic pulmonary fibrosis
hsa-mir-637,"anemia, sickle cell"
hsa-mir-548e,embryonal testis carcinoma
hsa-mir-3131,hypogonadism
hsa-mir-633,otitis media
hsa-mir-1202,liposarcoma
hsa-mir-498,"fatty liver, alcoholic"
hsa-mir-450a-1,myelodysplastic syndromes
hsa-mir-1302-7,bile duct neoplasms
hsa-mir-3666,neuronal apoptosis-related diseases
hsa-mir-1231,"carcinoma, embryonal"
hsa-mir-4449,"shock, septic"
hsa-mir-873,dementia
hsa-mir-125a,dermatomyositis
hsa-mir-3613,diabetic neuropathies
hsa-mir-5189,esophagitis
hsa-mir-325,cardiomyopathies
hsa-mir-185,cognitive dysfunction
hsa-mir-1302-8,"lichen planus, oral"
hsa-mir-1302-4,retinal degeneration
hsa-mir-500a,alopecia
hsa-mir-4531,fanconi anemia
hsa-mir-640,hypersensitivity
hsa-mir-567,tuberculosis
hsa-mir-454,pulmonary fibrosis
hsa-mir-3909,"myasthenic syndromes, congenital"
hsa-mir-4302,intestinal diseases
hsa-mir-451b,leishmaniasis
hsa-mir-27a,giant cell tumor of bone
hsa-mir-621,capsule opacification
hsa-mir-147b,neuralgia
hsa-mir-4274,wound inflammation
hsa-mir-19b-1,"heart defects, congenital"
hsa-mir-586,"arthritis, rheumatoid"
hsa-mir-3074,dental enamel hypoplasia
hsa-mir-6068,oligodendroglioma
hsa-mir-4284,myeloproliferative neoplasms
hsa-mir-1269a,"chromosome 22q11.2 deletion syndrome, distal"
hsa-mir-496,"chromosome 22q11.2 deletion syndrome, distal"
hsa-mir-654,dementia
hsa-mir-516a-2,"leukemia, lymphoblastic, acute, b-cell"
hsa-mir-648,salmonella infections
hsa-mir-711,hemoglobinopathies
hsa-mir-548ac,moyamoya disease
hsa-mir-129-1,hepatitis e
hsa-mir-3666,encephalomyelitis
hsa-mir-644a,epstein-barr virus infections
hsa-mir-874,"malaria, falciparum"
hsa-mir-1260b,"lupus erythematosus, systemic"
hsa-mir-641,x-linked alport syndrome
hsa-mir-3163,"shock, hemorrhagic"
hsa-mir-378h,growth hormone-secreting pituitary adenoma
hsa-mir-7161,"systemic lupus erythematosus, with pericarditis"
hsa-mir-30c-2,early-stage cervical squamous cell carcinoma
hsa-mir-1268a,complex regional pain syndromes
hsa-mir-7705,liver diseases
hsa-mir-937,depressive disorder
hsa-mir-497,"leukemia, lymphoid"
hsa-mir-1284,retinal degeneration
hsa-mir-6782,"leukoplakia, oral"
hsa-mir-4728,familial mediterranean fever
hsa-mir-1302-6,acute cerebral ischemia
hsa-let-7f-2,cardiomyopathies
hsa-mir-484,chromosome 5q deletion syndrome
hsa-mir-136,hyperglycemia
hsa-mir-499b,leiomyosarcoma
hsa-mir-571,pemphigus
hsa-mir-611,cutaneous melanoma
hsa-mir-3170,triple negative breast neoplasms
hsa-let-7d,ovarian diseases
hsa-mir-4446,creutzfeldt-jakob syndrome
hsa-mir-378i,cystic fibrosis
hsa-mir-217,hyperhomocysteinemia
hsa-mir-548an,aortic valve stenosis
hsa-mir-516a-2,ganglioglioma
hsa-mir-1302-5,metabolic diseases
hsa-mir-570,bipolar disorder
hsa-mir-132,feingold syndrome
hsa-mir-122,costello syndrome
hsa-mir-495,sertoli cell-only syndrome
hsa-mir-4728,"pregnancy, ectopic"
hsa-mir-448,salivary gland neoplasms
hsa-mir-194-1,psychotic disorders
hsa-mir-660,"abortion, spontaneous"
hsa-mir-548an,pre-eclampsia
hsa-mir-1249,aortic valve insufficiency
hsa-mir-4279,ovary mixed epithelial carcinoma
hsa-mir-628,cardiomyopathies
hsa-mir-602,alzheimer disease
hsa-mir-29b-1,"adenocarcinoma, ampullary"
hsa-mir-940,"scleroderma, systemic"
hsa-mir-614,hypercholesterolemia
hsa-mir-124-2,osteonecrosis
hsa-mir-6836,mandibular prognathism
hsa-mir-328,charcot-marie-tooth disease
hsa-mir-3178,cardiovascular diseases
hsa-mir-1267,cytomegalovirus infections
hsa-mir-3663,papillomaviridae
hsa-mir-615,"hepatitis, alcoholic"
hsa-mir-6880,pelvic organ prolapse
hsa-mir-122,schistosomiasis japonica
hsa-mir-1301,"lymphoma, large b-cell, diffuse"
hsa-mir-4286,prion diseases
hsa-mir-6729,cholestasis
hsa-mir-544a,vascular hypertrophy
hsa-mir-513a-2,"cholangitis, sclerosing"
hsa-mir-1182,"aortic aneurysm, thoracic"
hsa-mir-544a,pancreatic neoplasms
hsa-mir-4656,hemoglobin sc disease
hsa-mir-769,endometrial neoplasms
hsa-mir-5582,"carcinoma, merkel cell"
hsa-mir-7152,aortic valve insufficiency
hsa-mir-612,spinal cord injuries
hsa-mir-506,"rhinitis, allergic, perennial"
hsa-mir-509-1,myocardial infarction
hsa-mir-1271,evans syndrome
hsa-mir-25,"carcinoma, transitional cell"
hsa-mir-1302-7,porphyromonas gingivalis
hsa-mir-518d,demyelinating diseases
hsa-mir-1203,uterine corpus serous adenocarcinoma
hsa-mir-1233-1,"telangiectasia, hereditary hemorrhagic"
hsa-mir-17,uterine corpus endometrial carcinoma
hsa-mir-656,b-cell childhood acute lymphoblastic leukemia
hsa-mir-514a-3,gallstones
hsa-mir-1910,rheumatic heart disease
hsa-mir-3178,allergic asthma
hsa-mir-196a-1,"hepatitis, autoimmune"
hsa-mir-1825,down syndrome
hsa-mir-1321,diabetic cardiomyopathies
hsa-mir-320a,seminoma
hsa-mir-6720,"carcinoma, gastrooesophageal"
hsa-mir-711,vitiligo
hsa-mir-4258,guillain-barre syndrome
hsa-mir-130b,"anemia, aplastic"
hsa-mir-140,cardiomegaly
hsa-mir-4728,brain ischemia
hsa-mir-211,uterine carcinosarcoma
hsa-mir-4466,metabolic syndrome
hsa-mir-181b-1,spinal cord injuries
hsa-mir-1285-1,bronchopulmonary dysplasia
hsa-mir-941-1,urinary system cancer
hsa-mir-18a,creutzfeldt-jakob syndrome
hsa-mir-4765,myopia
hsa-mir-3908,"carcinoma, ovarian, serous"
hsa-mir-873,"leukemia, erythroblastic, acute"
hsa-mir-4463,idiopathic scoliosis
hsa-mir-19a,"carcinoma, transitional cell"
hsa-mir-99b,"liver diseases, alcoholic"
hsa-mir-492,"purpura, thrombocytopenic, idiopathic"
hsa-mir-520h,ependymoma
hsa-mir-548a-1,"supranuclear palsy, progressive"
hsa-mir-3654,"ischemic attack, transient"
hsa-mir-523,retinal neovascularization
hsa-mir-4778,"carcinoma, transitional cell"
hsa-mir-448,cervix endometrial stromal tumor
hsa-mir-616,ischemia
hsa-mir-4454,arthritis
hsa-mir-378g,fatty liver
hsa-mir-1306,nervous system diseases
hsa-mir-1180,guillain-barre syndrome
hsa-mir-2110,pediatric ependymoma
hsa-mir-449a,uterine corpus serous adenocarcinoma
hsa-mir-101-2,"ectodermal dysplasia 1, anhidrotic"
hsa-mir-4534,"squamous cell carcinoma, sinonasal"
hsa-mir-1973,ovarian neoplasms
hsa-mir-211,uveitis
hsa-mir-539,"systemic lupus erythematosus, with pericarditis"
hsa-mir-3186,"hearing loss, central"
hsa-mir-6729,diabetic foot
hsa-mir-1238,cholesteatoma
hsa-mir-6088,encephalomyelitis
hsa-mir-466,"leukemia, lymphocytic, chronic, b-cell"
hsa-mir-93,salivary gland disease
hsa-mir-490,"neoplasms, neuroepithelial"
hsa-mir-6852,"pancreatitis, acute necrotizing"
hsa-mir-196a-1,heart transplant rejection
hsa-mir-7-2,"carcinoma, ductal"
hsa-mir-323b,graves ophthalmopathy
hsa-mir-320b-1,angiomyolipoma
hsa-mir-548a-1,porphyromonas gingivalis
hsa-mir-492,"osteoporosis, postmenopausal"
hsa-mir-1286,celiac disease
hsa-mir-500b,"anemia, aplastic"
hsa-mir-920,smoke inhalation injury
hsa-mir-4284,chronic pain
hsa-mir-1324,"diabetes, gestational"
hsa-mir-4268,balkan nephropathy
hsa-mir-4268,hemophilia a
hsa-mir-612,bronchiolitis obliterans
hsa-mir-521-1,lofgren syndrome
hsa-mir-5091,polycystic ovary syndrome
hsa-mir-489,"carcinoma, tounge"
hsa-mir-1238,kidney diseases
hsa-mir-551b,gliosis
hsa-mir-616,dental enamel hypoplasia
hsa-mir-1273c,borna disease
hsa-mir-6838,angiomyolipoma
hsa-mir-532,asthenozoospermia
hsa-mir-7-2,sepsis
hsa-mir-938,"neuroectodermal tumors, primitive"
hsa-mir-190b,pregnancy complications
hsa-mir-7107,immunologic deficiency syndromes
hsa-mir-513a-1,eclampsia
hsa-mir-449c,panic disorder
hsa-mir-1843,pten hamartoma tumor tyndrome
hsa-mir-1228,infection
hsa-mir-6861,hepatoblastoma
hsa-mir-516a-2,heart transplant rejection
hsa-mir-1909,neurodegenerative diseases
hsa-mir-548am,"lichen planus, oral"
hsa-mir-1301,"colorectal neoplasms, hereditary nonpolyposis"
hsa-mir-765,"shock, septic"
hsa-mir-302d,"adenocarcinoma, gastric-esophageal junction"
hsa-mir-3611,hearing disorders
hsa-mir-1273c,small cell lung carcinoma
hsa-mir-31,azoospermia
hsa-mir-582,vasculitis
hsa-mir-34b,"spondylitis, ankylosing"
hsa-mir-146a,"colorectal neoplasms, hereditary nonpolyposis"
hsa-mir-4787,skin hemangioma
hsa-mir-320d-1,asthma
hsa-mir-371a,lesch-nyhan syndrome
hsa-mir-3144,infection
hsa-mir-193b,"carcinoma, transitional cell"
hsa-mir-381,sepsis
hsa-mir-4770,retinitis pigmentosa
hsa-mir-1207,vulvar neoplasms
hsa-mir-4294,demyelinating diseases
hsa-mir-3960,non-neoplastic diseases
hsa-mir-1910,supraglottitis
hsa-mir-4257,liver neoplasms
hsa-mir-1185-1,blindness
hsa-mir-1301,aortic aneurysm
hsa-mir-302c,holt-oram syndrome
hsa-mir-216a,"carcinoma, oral"
hsa-mir-516a-1,coronary restenosis
hsa-mir-3196,macular degeneration
hsa-mir-1972-1,frontotemporal lobar degeneration
hsa-mir-483,distal myopathies
hsa-mir-15b,non-syndromic orofacial clefts
hsa-mir-4778,cryptosporidiosis
hsa-mir-4310,hepatoblastoma
hsa-mir-130a,"carcinoma, islet cell"
hsa-mir-1181,"enterocolitis, necrotizing"
hsa-mir-1285-1,trisomy 13 syndrome
hsa-mir-514a-3,hypoxia
hsa-mir-1915,"leukemia, myeloid, acute"
hsa-mir-105-1,hepatitis b
hsa-mir-514a-1,azoospermia
hsa-mir-4490,"hearing loss, central"
hsa-mir-3610,primary myelofibrosis
hsa-mir-378e,"neovascularization, pathologic"
hsa-mir-378d-1,parkinson disease
hsa-mir-641,pemphigus
hsa-mir-192,"systemic lupus erythematosus, with pericarditis"
hsa-mir-210,cutaneous melanoma
hsa-mir-548a-3,"hypoxia-ischemia, brain"
hsa-mir-451b,encephalitis
hsa-mir-4501,burkitt lymphoma
hsa-mir-545,acute kidney injury
hsa-mir-4793,corneal neovascularization
hsa-mir-190b,"leukemia, myeloid, chronic-phase"
hsa-mir-125a,pten hamartoma tumor tyndrome
hsa-mir-4639,adenoviridae infections
hsa-mir-648,hiv infections
hsa-mir-4695,early-stage gastric carcinoma
hsa-mir-892a,wilms tumor
hsa-mir-410,rheumatic myocarditis
hsa-mir-4478,follicular atresia
hsa-mir-130b,intestinal barrier dysfunction
hsa-mir-15b,vascular hypertrophy
hsa-mir-101-1,leishmaniasis
hsa-mir-134,cone dystrophy
hsa-mir-512-2,fibrosarcoma
hsa-mir-497,osteopetrosis
hsa-mir-301b,hypoxia
hsa-mir-302a,cutaneous lupus erythematosus
hsa-mir-664b,"thyroid carcinoma, anaplastic"
hsa-mir-522,primary myelofibrosis
hsa-mir-127,staphylococcal scalded skin syndrome
hsa-mir-1297,thrombocytopenia
hsa-mir-550a-1,"malaria, falciparum"
hsa-mir-575,legg-calve-perthes disease
hsa-mir-4484,peritonitis
hsa-mir-1203,cervix endometrial stromal tumor
hsa-mir-320e,wound inflammation
hsa-mir-1203,non-sensory diseases
hsa-mir-1265,rhabdoid tumor
hsa-mir-592,essential hypertension
hsa-mir-1245a,"leukemia, myeloid, acute"
hsa-mir-632,respiratory syncytial virus infections
hsa-mir-3185,lung neoplasms
hsa-mir-6508,neurodegenerative diseases
hsa-mir-1203,sertoli cell-only syndrome
hsa-mir-1236,nasopharyngeal neoplasms
hsa-mir-376c,myocardial reperfusion injury
hsa-mir-6782,"sarcoma, endometrial stromal"
hsa-mir-297,atypical teratoid tumor
hsa-mir-1231,rheumatic heart disease
hsa-mir-4484,endometriosis
hsa-mir-4436b-2,"carcinoma, periampullary"
hsa-mir-592,"cardiomyopathy, ischemic"
hsa-mir-6126,"brain injuries, traumatic"
hsa-mir-4634,alzheimer disease
hsa-mir-147a,skin injury
hsa-mir-141,ileus
hsa-mir-29b-2,hematologic neoplasms
hsa-mir-10a,"leprosy, lepromatous"
hsa-mir-1843,"hamartoma syndrome, multiple"
hsa-mir-636,glomerulonephritis
hsa-mir-933,neuroinflammation
hsa-mir-576,peripheral vascular diseases
hsa-mir-361,gastrointestinal neoplasms
hsa-mir-7706,uterine corpus endometrial carcinoma
hsa-mir-520d,cardiac myocyte injury
hsa-mir-548l,endocardial cushion defects
hsa-mir-1297,"small cell carcinoma, esophageal"
hsa-mir-1299,"muscular dystrophy, facioscapulohumeral"
hsa-mir-190b,charcot-marie-tooth disease
hsa-mir-3622a,wound inflammation
hsa-mir-4291,leiomyosarcoma
hsa-mir-196a-2,"carcinoma, thyroid, follicular"
hsa-mir-6086,peripheral vascular diseases
hsa-mir-1-2,"colorectal neoplasms, hereditary nonpolyposis"
hsa-mir-1268b,pelvic organ prolapse
hsa-mir-3126,small cell lung carcinoma
hsa-let-7g,legg-calve-perthes disease
hsa-mir-1246,fragile x syndrome
hsa-mir-556,supraglottitis
hsa-mir-589,"scleroderma, systemic"
hsa-mir-515-1,acquired immunodeficiency syndrome
hsa-mir-124-2,liver diseases
hsa-mir-6086,feingold syndrome
hsa-mir-208b,idiopathic pulmonary fibrosis
hsa-mir-3126,heart failure
hsa-mir-4258,intestinal barrier dysfunction
hsa-mir-1305,"influenza, human"
hsa-mir-3677,gerstmann-straussler-scheinker disease
hsa-mir-6831,pancreatic adenocarcinoma
hsa-mir-34a,diabetic cardiomyopathies
hsa-mir-376a-2,"leukemia, promyelocytic, acute"
hsa-mir-4291,asthma
hsa-mir-31,li-fraumeni syndrome
hsa-mir-4423,wound inflammation
hsa-mir-4795,skin injury
hsa-mir-339,perlman syndrome
hsa-mir-362,"systemic lupus erythematosus, with pericarditis"
hsa-mir-194-1,embryonal testis carcinoma
hsa-mir-190a,"solitary fibrous tumor, pleural"
hsa-mir-376a-2,respiratory syncytial virus infections
hsa-mir-335,prion diseases
hsa-mir-1273c,frontotemporal dementia
hsa-mir-558,mastitis
hsa-mir-22,"carcinoma, periampullary"
hsa-mir-5003,"carcinoma, tounge"
hsa-mir-933,autism spectrum disorder
hsa-mir-6075,epilepsy
hsa-mir-6075,pneumonia
hsa-mir-3138,oral submucous fibrosis
hsa-mir-629,stroke
hsa-mir-1343,"hypoxia-ischemia, brain"
hsa-mir-200a,wounds and injuries
hsa-mir-935,"arrhythmias, cardiac"
hsa-mir-513a-2,allergic asthma
hsa-mir-499a,"hernia, diaphragmatic"
hsa-mir-374a,head and neck adenoid cystic carcinoma
hsa-mir-3138,"rhinitis, allergic"
hsa-mir-1247,"solitary fibrous tumor, pleural"
hsa-mir-26a-1,toxoplasmosis
hsa-mir-4293,pediatric obesity
hsa-mir-3622a,thrombosis
hsa-mir-935,wounds and injuries
hsa-mir-519e,sciatic nerve injury
hsa-mir-7706,"carcinoma, colon"
hsa-mir-760,"carcinoma, basal cell"
hsa-mir-526a-1,myxoma
hsa-mir-1245b,fanconi anemia
hsa-mir-203a,melanoma
hsa-mir-4521,toxoplasmosis
hsa-mir-1303,"fatty liver, alcoholic"
hsa-mir-7515,hypertrophy
hsa-mir-150,frailty
hsa-mir-1228,testicular neoplasms
hsa-mir-4510,fibromyalgia
hsa-mir-1291,severe acute respiratory syndrome
hsa-mir-376a-1,evans syndrome
hsa-mir-548a-2,colorectal adenoma
hsa-mir-767,li-fraumeni syndrome
hsa-mir-3146,carcinosarcoma
hsa-mir-4317,wounds and injuries
hsa-mir-6836,rapidly progressive glomerulonephritis
hsa-mir-769,ovary mixed epithelial carcinoma
hsa-mir-7706,thrombosis
hsa-mir-29b-1,"lymphoma, mantle-cell"
hsa-mir-513c,musculoskeletal abnormalities
hsa-mir-376c,becker muscular dystrophy
hsa-mir-211,"spondylitis, ankylosing"
hsa-let-7g,"carcinoma, periampullary"
hsa-mir-6775,"glomerulonephritis, iga"
hsa-mir-4262,testicular neoplasms
hsa-mir-26b,"squamous cell carcinoma, head and neck"
hsa-mir-199a-1,"carcinoma, thyroid, medullary"
hsa-mir-1245b,diabetic cataract
hsa-mir-15b,"leukemia, megakaryoblastic, acute"
hsa-mir-1343,stomach neoplasms
hsa-mir-1203,"depressive disorder, major"
hsa-mir-497,"carcinoma, skin appendage"
hsa-let-7a-2,"muscular dystrophy, duchenne"
hsa-mir-4423,esophageal neoplasms
hsa-mir-1227,acute kidney injury
hsa-mir-514a-3,uremic neuropathy
hsa-mir-16-1,"lymphoma, follicular"
hsa-mir-629,ganglioglioma
hsa-mir-6075,inner ear inflammation
hsa-mir-376b,asthma
hsa-mir-550b-2,"muscular dystrophy, facioscapulohumeral"
hsa-mir-6873,"carcinoma, hepatocellular, hcv-related"
hsa-mir-3677,wound healing
hsa-mir-520d,"hypoxia-ischemia, brain"
hsa-mir-6088,"encephalitis viruses, japanese"
hsa-mir-421,head and neck neoplasms
hsa-mir-500b,hearing loss
hsa-mir-500a,myocardial infarction
hsa-mir-1976,spinal stenosis
hsa-mir-4436b-2,burns
hsa-let-7f-2,myasthenia gravis
hsa-mir-551a,sezary syndrome
hsa-mir-194-2,muscular dystrophies
hsa-mir-664b,"myasthenic syndromes, congenital"
hsa-mir-92a-2,hiv infections
hsa-mir-1207,neurofibromatosis type 2
hsa-mir-1825,"carcinoma, pancreatic"
hsa-mir-4765,"carcinoma, ductal"
hsa-mir-19b-2,reproductive system disease
hsa-mir-375,bone neoplasms
hsa-mir-7-2,colorectal adenocarcinoma
hsa-mir-339,dengue
hsa-mir-155,seizures
hsa-let-7a-2,hepatoblastoma
hsa-mir-578,evans syndrome
hsa-mir-1245a,"neuralgia, postherpetic"
hsa-mir-181c,"carcinoma, gingival"
hsa-mir-6869,muscular atrophy
hsa-mir-99a,"encephalitis viruses, japanese"
hsa-mir-5003,neuronal apoptosis-related diseases
hsa-mir-518a-1,brain neoplasms
hsa-mir-2682,li-fraumeni syndrome
hsa-mir-492,bone neoplasms
hsa-mir-362,cholangiocarcinoma
hsa-mir-3924,"liver failure, acute"
hsa-mir-516a-2,rectal neoplasms
hsa-mir-526a-2,stroke
hsa-mir-4262,melanoma
hsa-mir-591,"diabetes mellitus, type 2"
hsa-mir-153-1,meningitis
hsa-mir-668,cornea squamous cell carcinoma
hsa-mir-4429,peritoneal neoplasms
hsa-mir-4455,antiphospholipid syndrome
hsa-mir-512-1,diabetic nephropathies
hsa-mir-3126,vitiligo
hsa-mir-889,"hepatitis, chronic"
hsa-mir-3658,head and neck neoplasms
hsa-mir-648,"dermatitis, allergic contact"
hsa-mir-103b-1,pulmonary fibrosis
hsa-mir-15a,hellp syndrome
hsa-mir-1288,fetal alcohol spectrum disorders
hsa-let-7e,diabetic nephropathies
hsa-mir-4478,rectum adenocarcinoma
hsa-mir-516b-2,celiac disease
hsa-mir-3976,cystic fibrosis
hsa-mir-4530,"carcinoma, gingival"
hsa-mir-99b,glioblastoma
hsa-mir-1909,"sarcoma, ewing"
